@startDateOnly,@value
2/14/2020,49
2/15/2020,1
2/16/2020,32
2/17/2020,42
2/18/2020,48
2/19/2020,30
2/20/2020,1
2/21/2020,19
2/22/2020,1
2/24/2020,50
2/25/2020,57
2/26/2020,48
2/27/2020,49
2/28/2020,46
2/29/2020,23
3/2/2020,51
3/3/2020,59
3/4/2020,32
3/5/2020,55
3/6/2020,49
3/7/2020,54
3/8/2020,35
3/9/2020,35
3/10/2020,59
3/11/2020,49
3/12/2020,47
3/13/2020,9
3/14/2020,13
3/15/2020,17
3/19/2020,2
3/20/2020,8
3/22/2020,1
3/25/2020,1
3/26/2020,1
3/27/2020,1
3/28/2020,11
3/29/2020,4
3/31/2020,56
4/1/2020,3
4/3/2020,8
4/4/2020,51
4/5/2020,22
4/6/2020,32
4/8/2020,1
4/9/2020,4
4/10/2020,8
4/11/2020,1
4/19/2020,60
4/20/2020,17
4/21/2020,3
4/23/2020,1
4/24/2020,3
4/26/2020,4
4/27/2020,1
4/28/2020,2
4/29/2020,2
4/30/2020,2
5/1/2020,16
5/2/2020,15
5/8/2020,2
5/9/2020,40
5/10/2020,6
5/12/2020,2
5/14/2020,36
5/17/2020,34
5/18/2020,1
5/20/2020,38
5/24/2020,24
5/25/2020,56
5/26/2020,1
5/29/2020,22
6/3/2020,2
6/4/2020,64
6/6/2020,4
6/12/2020,45
6/14/2020,40
6/15/2020,5
6/17/2020,1
6/18/2020,3
6/19/2020,1
6/20/2020,13
6/21/2020,6
6/23/2020,67
6/25/2020,106
6/26/2020,38
6/29/2020,159
6/30/2020,105
7/1/2020,87
7/2/2020,150
7/3/2020,219
7/4/2020,15
7/5/2020,49
7/6/2020,64
7/7/2020,132
7/9/2020,78
7/10/2020,1
7/11/2020,6
7/13/2020,57
7/14/2020,144
7/15/2020,1
7/16/2020,72
7/17/2020,87
7/18/2020,139
7/19/2020,167
7/20/2020,55
7/21/2020,140
7/23/2020,14
7/24/2020,210
7/26/2020,48
7/27/2020,65
7/28/2020,135
7/29/2020,74
7/30/2020,177
7/31/2020,230
8/1/2020,7
8/2/2020,19
8/3/2020,68
8/4/2020,8
8/5/2020,1
8/6/2020,39
8/7/2020,63
8/8/2020,40
8/9/2020,59
8/10/2020,57
8/11/2020,101
8/12/2020,1
8/13/2020,65
8/14/2020,60
8/15/2020,64
8/16/2020,134
8/17/2020,108
8/18/2020,70
8/19/2020,21
8/20/2020,114
8/22/2020,36
8/23/2020,14
8/24/2020,98
8/25/2020,73
8/26/2020,63
8/27/2020,148
8/28/2020,98
8/29/2020,5
8/30/2020,69
8/31/2020,121
9/1/2020,12
9/3/2020,149
9/5/2020,38
9/6/2020,166
9/7/2020,31
9/8/2020,180
9/9/2020,47
9/10/2020,66
9/11/2020,144
9/12/2020,20
9/13/2020,185
9/14/2020,80
9/15/2020,81
9/17/2020,63
9/18/2020,3
9/19/2020,33
9/20/2020,78
9/21/2020,75
9/22/2020,93
9/23/2020,59
9/24/2020,81
9/25/2020,5
9/26/2020,119
9/28/2020,211
9/29/2020,73
9/30/2020,1
10/1/2020,80
10/2/2020,2
10/3/2020,68
10/4/2020,6
10/5/2020,9
10/8/2020,64
10/11/2020,117
10/13/2020,1
10/15/2020,50
10/16/2020,2
10/17/2020,3
10/18/2020,13
10/19/2020,11
10/20/2020,64
10/22/2020,72
10/23/2020,63
10/24/2020,1
