@startDateOnly,@value
2020-02-14,106
2020-02-15,58
2020-02-16,193
2020-02-17,213
2020-02-18,209
2020-02-19,200
2020-02-20,19
2020-02-21,169
2020-02-22,41
2020-02-23,27
2020-02-24,113
2020-02-25,155
2020-02-26,185
2020-02-27,112
2020-02-28,166
2020-02-29,87
2020-03-01,7
2020-03-02,133
2020-03-03,179
2020-03-04,118
2020-03-05,145
2020-03-06,144
2020-03-07,158
2020-03-08,126
2020-03-09,95
2020-03-10,138
2020-03-11,161
2020-03-12,107
2020-03-13,41
2020-03-14,31
2020-03-15,38
2020-03-16,4
2020-03-17,44
2020-03-18,6
2020-03-19,48
2020-03-20,26
2020-03-21,10
2020-03-22,15
2020-03-23,3
2020-03-24,8
2020-03-25,44
2020-03-26,10
2020-03-27,10
2020-03-28,41
2020-03-29,59
2020-03-30,2
2020-03-31,41
2020-04-01,10
2020-04-02,11
2020-04-03,57
2020-04-04,151
2020-04-05,16
2020-04-06,23
2020-04-07,31
2020-04-08,16
2020-04-09,12
2020-04-10,33
2020-04-11,23
2020-04-12,33
2020-04-13,31
2020-04-14,24
2020-04-15,18
2020-04-16,11
2020-04-17,9
2020-04-18,7
2020-04-19,158
2020-04-20,72
2020-04-21,52
2020-04-22,5
2020-04-23,14
2020-04-24,11
2020-04-26,27
2020-04-27,14
2020-04-28,18
2020-04-29,16
2020-04-30,30
2020-05-01,29
2020-05-02,49
2020-05-05,34
2020-05-06,6
2020-05-07,14
2020-05-08,35
2020-05-09,92
2020-05-10,64
2020-05-11,2
2020-05-12,13
2020-05-13,10
2020-05-14,70
2020-05-15,3
2020-05-16,26
2020-05-17,103
2020-05-18,11
2020-05-19,15
2020-05-20,61
2020-05-21,11
2020-05-22,23
2020-05-23,19
2020-05-24,83
2020-05-25,108
2020-05-26,4
2020-05-27,7
2020-05-28,16
2020-05-29,54
2020-05-31,20
2020-06-01,9
2020-06-02,5
2020-06-03,14
2020-06-04,88
2020-06-05,21
2020-06-06,48
2020-06-07,7
2020-06-08,2
2020-06-09,11
2020-06-10,19
2020-06-11,14
2020-06-12,84
2020-06-13,20
2020-06-14,93
2020-06-15,62
2020-06-16,11
2020-06-17,9
2020-06-18,28
2020-06-19,38
2020-06-20,53
2020-06-21,60
2020-06-22,11
2020-06-23,126
2020-06-24,8
2020-06-25,172
2020-06-26,69
2020-06-27,1
2020-06-28,5
2020-06-29,189
2020-06-30,124
2020-07-01,116
2020-07-02,230
2020-07-03,271
2020-07-04,66
2020-07-05,117
2020-07-06,93
2020-07-07,170
2020-07-08,1
2020-07-09,161
2020-07-10,41
2020-07-11,49
2020-07-12,22
2020-07-13,87
2020-07-14,137
2020-07-15,1
2020-07-16,88
2020-07-17,154
2020-07-18,211
2020-07-19,226
2020-07-20,68
2020-07-21,141
2020-07-22,22
2020-07-23,102
2020-07-24,297
2020-07-26,143
2020-07-27,89
2020-07-28,139
2020-07-29,78
2020-07-30,256
2020-07-31,280
2020-08-01,43
2020-08-02,71
2020-08-03,87
2020-08-04,67
2020-08-05,6
2020-08-06,105
2020-08-07,171
2020-08-08,163
2020-08-09,172
2020-08-10,69
2020-08-11,113
2020-08-12,6
2020-08-13,103
2020-08-14,63
2020-08-15,62
2020-08-16,211
2020-08-17,177
2020-08-18,117
2020-08-19,49
2020-08-20,127
2020-08-21,15
2020-08-22,86
2020-08-23,101
2020-08-24,155
2020-08-25,107
2020-08-26,96
2020-08-27,169
2020-08-28,134
2020-08-29,64
2020-08-30,120
2020-08-31,123
2020-09-01,44
2020-09-02,8
2020-09-03,157
2020-09-04,16
2020-09-05,83
2020-09-06,194
2020-09-07,65
2020-09-08,191
2020-09-09,84
2020-09-10,105
2020-09-11,237
2020-09-12,185
2020-09-13,161
2020-09-14,112
2020-09-15,103
2020-09-16,15
2020-09-17,87
2020-09-18,20
2020-09-19,74
2020-09-20,120
2020-09-21,84
2020-09-22,101
2020-09-23,79
2020-09-24,99
2020-09-25,39
2020-09-26,151
2020-09-27,7
2020-09-28,271
2020-09-29,81
2020-09-30,11
2020-10-01,102
2020-10-02,45
2020-10-03,115
2020-10-04,31
2020-10-05,51
2020-10-06,29
2020-10-07,2
2020-10-08,101
2020-10-09,45
2020-10-10,9
2020-10-11,187
2020-10-12,20
2020-10-13,39
2020-10-14,16
2020-10-15,76
2020-10-16,59
2020-10-17,42
2020-10-18,72
2020-10-19,51
2020-10-20,101
2020-10-21,22
2020-10-22,94
2020-10-23,88
2020-10-24,28
2020-10-25,2
