@startDateOnly,@value
2020-02-14,17667
2020-02-15,5309
2020-02-16,21875
2020-02-17,22444
2020-02-18,25020
2020-02-19,23903
2020-02-20,2934
2020-02-21,19294
2020-02-22,6265
2020-02-23,3725
2020-02-24,16216
2020-02-25,22076
2020-02-26,21925
2020-02-27,15895
2020-02-28,21319
2020-02-29,12098
2020-03-01,1408
2020-03-02,19327
2020-03-03,25193
2020-03-04,19710
2020-03-05,21129
2020-03-06,21979
2020-03-07,24772
2020-03-08,18995
2020-03-09,16223
2020-03-10,20605
2020-03-11,22154
2020-03-12,15547
2020-03-13,5911
2020-03-14,5345
2020-03-15,5721
2020-03-16,5411
2020-03-17,4624
2020-03-18,743
2020-03-19,6755
2020-03-20,4666
2020-03-21,1651
2020-03-22,2423
2020-03-23,379
2020-03-24,1106
2020-03-25,4754
2020-03-26,1647
2020-03-27,1344
2020-03-28,5466
2020-03-29,9013
2020-03-30,1237
2020-03-31,2906
2020-04-01,1611
2020-04-02,1690
2020-04-03,8061
2020-04-04,29562
2020-04-05,2054
2020-04-06,3663
2020-04-07,3406
2020-04-08,2516
2020-04-09,1355
2020-04-10,5863
2020-04-11,3732
2020-04-12,6037
2020-04-13,2770
2020-04-14,3782
2020-04-15,1796
2020-04-16,2260
2020-04-17,1510
2020-04-18,984
2020-04-19,30504
2020-04-20,11100
2020-04-21,5336
2020-04-22,1338
2020-04-23,2609
2020-04-24,4503
2020-04-25,3254
2020-04-26,2575
2020-04-27,1947
2020-04-28,2991
2020-04-29,2555
2020-04-30,2991
2020-05-01,6161
2020-05-02,9704
2020-05-03,654
2020-05-04,1117
2020-05-05,2870
2020-05-06,1333
2020-05-07,1878
2020-05-08,3862
2020-05-09,10877
2020-05-10,6938
2020-05-11,630
2020-05-12,2913
2020-05-13,2355
2020-05-14,10030
2020-05-15,1394
2020-05-16,3857
2020-05-17,11849
2020-05-18,2449
2020-05-19,2159
2020-05-20,7172
2020-05-21,1710
2020-05-22,2398
2020-05-23,2321
2020-05-24,10131
2020-05-25,16334
2020-05-26,1131
2020-05-27,2227
2020-05-28,2204
2020-05-29,8547
2020-05-30,5130
2020-05-31,2718
2020-06-01,1831
2020-06-02,1255
2020-06-03,1962
2020-06-04,7075
2020-06-05,2298
2020-06-06,4512
2020-06-07,1726
2020-06-08,1082
2020-06-09,2008
2020-06-10,2266
2020-06-11,2016
2020-06-12,6996
2020-06-13,2807
2020-06-14,14796
2020-06-15,6960
2020-06-16,1675
2020-06-17,1960
2020-06-18,5489
2020-06-19,4133
2020-06-20,5794
2020-06-21,6392
2020-06-22,2716
2020-06-23,12112
2020-06-24,1893
2020-06-25,18925
2020-06-26,11864
2020-06-27,2730
2020-06-28,961
2020-06-29,17795
2020-06-30,11437
2020-07-01,8421
2020-07-02,34390
2020-07-03,39470
2020-07-04,8024
2020-07-05,17842
2020-07-06,9983
2020-07-07,13327
2020-07-08,2227
2020-07-09,17362
2020-07-10,6123
2020-07-11,6091
2020-07-12,2750
2020-07-13,6993
2020-07-14,11516
2020-07-15,903
2020-07-16,6278
2020-07-17,15122
2020-07-18,31308
2020-07-19,35141
2020-07-20,7570
2020-07-21,11701
2020-07-22,1992
2020-07-23,10182
2020-07-24,46653
2020-07-25,634
2020-07-26,23640
2020-07-27,7352
2020-07-28,7106
2020-07-29,6320
2020-07-30,38287
2020-07-31,42927
2020-08-01,5355
2020-08-02,9765
2020-08-03,8045
2020-08-04,4851
2020-08-05,834
2020-08-06,8548
2020-08-07,17026
2020-08-08,26773
2020-08-09,27107
2020-08-10,6245
2020-08-11,8292
2020-08-12,962
2020-08-13,10845
2020-08-14,7397
2020-08-15,10357
2020-08-16,30248
2020-08-17,23436
2020-08-18,15066
2020-08-19,5719
2020-08-20,9006
2020-08-21,3158
2020-08-22,11144
2020-08-23,13034
2020-08-24,10041
2020-08-25,8471
2020-08-26,6533
2020-08-27,16227
2020-08-28,9799
2020-08-29,4777
2020-08-30,14049
2020-08-31,7439
2020-09-01,4427
2020-09-02,1102
2020-09-03,9885
2020-09-04,2817
2020-09-05,12465
2020-09-06,16679
2020-09-07,6511
2020-09-08,13070
2020-09-09,7369
2020-09-10,7755
2020-09-11,32540
2020-09-12,13579
2020-09-13,10145
2020-09-14,10524
2020-09-15,6857
2020-09-16,1292
2020-09-17,7110
2020-09-18,2035
2020-09-19,9020
2020-09-20,7968
2020-09-21,5221
2020-09-22,4925
2020-09-23,7037
2020-09-24,7164
2020-09-25,3637
2020-09-26,11920
2020-09-27,1010
2020-09-28,38550
2020-09-29,4689
2020-09-30,964
2020-10-01,7082
2020-10-02,4267
2020-10-03,7802
2020-10-04,3289
2020-10-05,5153
2020-10-06,2197
2020-10-07,470
2020-10-08,6796
2020-10-09,3848
2020-10-10,1320
2020-10-11,14583
2020-10-12,2179
2020-10-13,3602
2020-10-14,2013
2020-10-15,5515
2020-10-16,5253
2020-10-17,5103
2020-10-18,8743
2020-10-19,6041
2020-10-20,6454
2020-10-21,2205
2020-10-22,6517
2020-10-23,6334
2020-10-24,4016
2020-10-25,217
